sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 102,flat,conscient heritage max,2.15,9306.0,2310.0,Super Built up area 2149(199.65 sq.m.),3,4,3,13.0,South,Relatively new property,2149.0,,,1,1,0,0,0,1,101
sector 70a,flat,capital residences 360,1.1,7586.0,1450.0,Super Built up area 1450(134.71 sq.m.),2,2,2,10.0,South-East,Relatively new property,1450.0,,,0,1,0,0,0,1,42
sector 85,flat,ss the leaf,1.77,7350.0,2408.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6.0,South-East,Moderately New Property,2408.0,1450.0,1300.0,1,0,0,0,0,0,135
sector 70,flat,tulip ivory,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,5,3+,6.0,East,Moderately New Property,2400.0,,1850.0,1,0,0,0,0,0,95
sector 106,flat,paras dews,0.88,6353.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1040 sq.ft. (96.62 sq.m.),2,2,3+,3.0,South-East,Relatively new property,1385.0,1120.0,1040.0,0,0,0,0,0,1,49
sector 99,flat,vatika sovereign park,2.45,8812.0,2780.0,Super Built up area 2780(258.27 sq.m.),3,4,3,1.0,East,New Property,2780.0,,,1,0,0,0,0,0,165
sector 50,flat,unitech harmony,2.6,9590.0,2711.0,Super Built up area 2711(251.86 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,15.0,North-East,Relatively new property,2711.0,2700.0,2200.0,1,0,1,0,0,0,174
sector 41,flat,unitech the palms,2.75,16768.0,1640.0,Super Built up area 1640(152.36 sq.m.),3,3,2,14.0,Na,Old Property,1640.0,,,0,0,0,0,0,2,79
sector 33,flat,eldeco accolade,1.2,8043.0,1492.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,2,0.0,Na,Undefined,,1492.0,849.0,0,0,0,0,0,1,56
sector 26,house,independent,18.25,18250.0,10000.0,Plot area 550(51.1 sq.m.)Carpet area: 10000 sq.ft. (929.03 sq.m.),7,9,3+,4.0,East,Relatively new property,,,10000.0,1,1,0,1,1,0,77
sector 108,flat,raheja vedaanta,1.25,5681.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,2,0,0.0,Na,Relatively new property,2200.0,,,0,0,0,0,0,0,65
sector 67a,flat,pyramid urban,0.53,8967.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,6.0,West,Relatively new property,,,591.0,0,0,1,0,0,0,49
sector 102,flat,shapoorji pallonji joyville gurugram,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,Na,Under Construction,,,915.0,0,0,0,0,0,1,49
sector 102,flat,conscient heritage max,1.82,9011.0,2020.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,12.0,North-East,Relatively new property,1942.0,,,1,0,0,0,0,1,101
sector 36a,flat,krisumi waterfall residences,2.2,14874.0,1479.0,Super Built up area 1479(137.4 sq.m.),2,2,2,23.0,North,New Property,1479.0,,,0,0,0,0,0,1,15
sector 90,flat,dlf new town heights,1.75,5720.0,3059.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,17.0,South,Relatively new property,2727.0,,,1,0,0,1,0,1,88
sector 11,house,shivaji nagar residential,3.08,11407.0,2700.1,Built Up area: 2700 (250.84 sq.m.),6,4,2,1.0,Na,Undefined,,2700.0,,0,0,0,0,0,1,0
sector 33,house,unitech uniworld resorts,,,,Plot area 520(434.79 sq.m.),5,8,3+,4.0,West,Relatively new property,,520.0,,1,0,0,0,1,0,100
sector 84,flat,antriksh heights,0.9,4444.0,2025.0,Super Built up area 2025(188.13 sq.m.),3,3,3,18.0,Na,Relatively new property,2025.0,,,1,0,0,1,0,1,59
sohna road,flat,silverglades the melia,1.01,7000.0,1443.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,12.0,Na,Under Construction,1450.0,,950.0,0,1,0,0,0,1,80
sector 91,flat,tarc maceo,1.8,7758.0,2320.0,Carpet area: 2320 (215.54 sq.m.),4,3,3+,0.0,North,Relatively new property,,,2320.0,0,1,0,1,0,2,45
sector 102,flat,conscient heritage max,1.9,9783.0,1942.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,20.0,North-East,Relatively new property,1942.0,,,1,0,0,0,0,1,165
sector 85,flat,ss the leaf,1.99,8659.0,2298.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2398 sq.ft. (222.78 sq.m.)Carpet area: 2298 sq.ft. (213.49 sq.m.),3,4,3+,17.0,East,Relatively new property,2408.0,2398.0,2298.0,1,0,0,0,0,0,174
sector 33,flat,godrej nature plus,1.67,10500.0,1590.0,Carpet area: 1671 (155.24 sq.m.),3,2,2,18.0,Na,Under Construction,,,1671.0,0,0,0,0,0,1,67
sector 92,flat,sare crescent parc,0.5,5000.0,1000.0,Super Built up area 1000(92.9 sq.m.),2,2,2,2.0,Na,Relatively new property,1000.0,,,0,0,1,0,0,1,72
sector 50,flat,unitech fresco,1.14,8532.0,1336.0,Super Built up area 1336(124.12 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,2,19.0,East,Moderately New Property,1336.0,1330.0,1100.0,0,0,1,0,0,0,174
sector 63a,flat,signature global city 63a,1.4,11336.0,1235.0,Carpet area: 1235 (114.74 sq.m.),2,2,2,3.0,East,Under Construction,,,1235.0,0,0,1,0,0,1,0
sohna road,flat,breez global hill view,0.42,7174.0,585.0,Carpet area: 585.41 (54.39 sq.m.),2,2,1,18.0,Na,Relatively new property,,,585.448521,0,0,0,0,0,1,44
sector 57,flat,ansal sushant residency,1.5,6775.0,2214.0,Carpet area: 246 (205.69 sq.m.),3,2,3+,1.0,Na,Moderately New Property,,,246.0,0,0,0,0,0,1,87
sector 90,flat,mrg world ultimus,0.5,6983.0,716.0,Carpet area: 716 (66.52 sq.m.),2,2,2,1.0,North-East,Under Construction,,,716.0,0,0,0,0,0,1,21
sector 99a,flat,raheja vanya,0.59,3975.0,1484.0,Super Built up area 1252.13(116.33 sq.m.),2,2,3,1.0,East,Under Construction,1252.13,,,0,0,1,0,0,1,96
sector 3,flat,shyam apartment,0.26,3714.0,700.0,Super Built up area 700(65.03 sq.m.)Carpet area: 530 sq.ft. (49.24 sq.m.),2,1,2,2.0,Na,Relatively new property,700.0,,530.0,0,0,0,0,0,1,0
sector 83,flat,emaar palm gardens,1.3,11868.0,1095.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3,3,3,16.0,North,Relatively new property,1720.0,,1095.3,1,0,0,0,0,0,174
sector 90,flat,dlf regal gardens,1.76,7945.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4,4,3+,8.0,North,Relatively new property,2215.0,2020.0,1670.0,0,0,0,0,0,0,135
sector 99a,flat,pareena coban residences,1.38,7150.0,1930.0,Super Built up area 2352(218.51 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 1930 sq.ft. (179.3 sq.m.),4,5,3+,1.0,South-East,Relatively new property,2352.0,2150.0,1930.0,1,0,1,0,0,1,49
sector 72,flat,tata primanti,5.25,15648.0,3355.0,Super Built up area 3355(311.69 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,4,3+,30.0,North-East,New Property,3355.0,3000.0,2800.0,1,0,0,0,0,0,174
sector 26,house,dlf city plots,17.0,37627.0,4518.03,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,1,0,0,1,1,0,87
sector 85,flat,ss the leaf,1.14,6433.0,1772.0,Super Built up area 1772(164.62 sq.m.),2,2,3,16.0,South,Relatively new property,1772.0,,,0,0,0,0,0,1,44
sector 15,house,independent,1.07,11888.0,900.07,Plot area 900(83.61 sq.m.),2,2,1,1.0,Na,Old Property,,900.0,,1,0,0,0,0,1,7
sector 7,house,independent,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively new property,,550.0,,0,0,1,0,0,1,22
sector 14,flat,essel towers,2.75,12500.0,2200.0,Built Up area: 2200 (204.39 sq.m.),4,5,3+,8.0,East,Old Property,,2200.0,,1,1,0,0,0,2,128
sector 66,flat,ireo uptown,4.85,12999.0,3731.0,Super Built up area 3731(346.62 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3300 sq.ft. (306.58 sq.m.),4,4,3+,15.0,North,Relatively new property,3731.0,3500.0,3300.0,1,1,0,1,1,0,156
sector 3 phase 2,house,independent,1.1,10000.0,1100.0,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1.0,East,Undefined,,1100.0,900.0,0,0,0,0,0,1,0
sector 26,house,dlf city plots,13.5,29880.0,4518.07,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately New Property,,4518.0,,1,1,1,0,0,0,104
sector 26,house,independent,14.75,51864.0,2843.98,Plot area 316(264.22 sq.m.),16,20,3+,4.0,East,New Property,,2844.0,,1,1,0,1,1,0,153
sector 83,flat,emaar palm gardens,3.15,8400.0,3750.0,Super Built up area 3750(348.39 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2444.94 sq.ft. (227.14 sq.m.),5,7,3+,15.0,West,Relatively new property,3750.0,3200.0,2444.94,1,0,0,0,0,0,165
sector 92,flat,sare petioles,1.22,5250.0,2324.0,Built Up area: 2093 (194.45 sq.m.),4,3,3,9.0,Na,Under Construction,,2093.0,,1,0,0,0,0,1,99
sector 4,house,grover homes sec 4,4.75,9374.0,5067.21,Plot area 563(470.74 sq.m.),5,5,1,1.0,South-East,Old Property,,5067.0,,1,1,0,1,0,0,35
sector 92,flat,ansal heights,0.6,4546.0,1320.0,Super Built up area 1320(122.63 sq.m.),2,2,3,11.0,Na,Under Construction,1320.0,,,0,0,1,0,0,1,23
sector 43,house,independent,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,3+,4.0,North-West,Relatively new property,,2700.0,,1,1,1,1,0,1,41
sector 46,house,independent,5.65,23870.0,2366.99,Plot area 263(219.9 sq.m.),8,6,3+,3.0,South-West,Moderately New Property,,2367.0,,1,0,0,0,0,0,67
sector 70,flat,shree vardhman victoria,1.63,8358.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,5.0,East,New Property,1950.0,,1161.0,1,0,1,0,0,1,49
sector 104,flat,godrej summit,0.82,9854.0,832.0,Carpet area: 77.31,2,2,3,12.0,Na,Relatively new property,,,77.31,0,1,0,0,0,1,120
sector 90,flat,dlf new town heights,1.25,6476.0,1930.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,6.0,West,Relatively new property,1930.0,1929.0,1928.0,1,0,0,1,0,1,136
sector 83,flat,emaar palm gardens,1.72,9052.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,4.0,South,Relatively new property,1900.0,1600.0,1240.04,1,0,0,0,0,0,165
sector 2,flat,bestech park view residency,1.18,7539.0,1565.0,Super Built up area 1565(145.39 sq.m.),2,2,3,5.0,East,Old Property,1565.0,,,0,1,0,0,0,1,76
sector 89,flat,smart world gems,0.86,7796.0,1103.0,Super Built up area 1103(102.47 sq.m.),2,3,3,4.0,Na,Under Construction,1103.0,,,0,0,0,0,0,1,45
sector 79,flat,m3m antalya hills,1.15,7496.0,1534.0,Super Built up area 1534(142.51 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1103 sq.ft. (102.47 sq.m.),3,3,3+,1.0,Na,Under Construction,1534.0,1200.0,1103.0,0,1,0,0,0,1,51
sector 23,house,independent,2.4,12000.0,2000.0,Plot area 2000(185.81 sq.m.),3,3,2,2.0,North-East,Moderately New Property,,2000.0,,0,0,0,1,1,1,28
sector 68,flat,supertech hues,1.0,8474.0,1180.0,Carpet area: 1180 (109.63 sq.m.),2,2,3,23.0,Na,New Property,,,1180.0,0,0,0,0,0,1,49
sector 109,flat,ats kocoon,1.7,9742.0,1745.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3,3,3,22.0,East,Relatively new property,1745.0,1550.0,,0,0,0,0,0,1,74
sector 57,house,sector 57 huda,3.8,26063.0,1458.01,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4.0,East,Relatively new property,,162.0,160.0,0,0,0,1,1,0,94
sector 26,house,dlf city plots,4.0,40775.0,980.99,Plot area 109(91.14 sq.m.),4,3,2,2.0,Na,Relatively new property,,981.0,,0,0,0,0,0,0,0
sector 110,flat,indiabulls enigma,3.25,9558.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,4,3,11.0,South,Relatively new property,3400.0,,,1,0,1,0,0,1,125
sector 14,house,independent,5.5,16975.0,3240.06,Plot area 360(301.01 sq.m.)Built Up area: 355 sq.yards (296.83 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,4,2,2.0,East,Old Property,,355.0,300.0,0,1,0,0,0,1,27
sector 90,flat,dlf new town heights,1.99,7297.0,2727.0,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9.0,East,Relatively new property,,,2727.0,1,0,0,1,0,0,102
sector 12,house,independent,1.4,8702.0,1608.83,Plot area 166(138.8 sq.m.),2,2,1,2.0,North-East,Old Property,,166.0,,0,0,0,0,0,1,0
sector 28,house,independent,12.0,42194.0,2844.01,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively new property,,2844.0,,1,0,0,1,1,0,60
sector 8,house,independent,0.45,9000.0,500.0,Carpet area: 500 (46.45 sq.m.),1,1,1,3.0,East,Undefined,,,500.0,0,0,0,0,0,1,0
sector 90,flat,dlf new town heights,1.65,5683.0,2903.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,7.0,South,Moderately New Property,2727.0,,,0,0,0,0,0,1,117
sector 2,house,independent,0.4,7619.0,525.0,Carpet area: 525 (48.77 sq.m.),2,2,1,1.0,Na,Relatively new property,,,525.0,0,0,0,0,0,1,0
sector 113,flat,la vida by tata housing,3.72,13984.0,2660.0,Carpet area: 2660 (247.12 sq.m.),5,4,3+,0.0,Na,New Property,,,2660.0,0,0,0,1,0,2,44
sector 2,flat,bestech park view residency,1.51,7890.0,1914.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,8.0,West,Moderately New Property,1920.0,,,1,0,0,0,0,1,92
sector 102,flat,conscient heritage max,2.65,10375.0,2554.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,17.0,North,Moderately New Property,2554.0,,,1,0,0,0,0,1,125
sector 90,flat,dlf regal gardens,1.25,10416.0,1200.0,Super Built up area 1702(158.12 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,18.0,North,Moderately New Property,1702.0,,1200.0,1,0,0,0,0,1,100
sector 65,flat,m3m golfestate,5.9,17484.0,3375.0,Super Built up area 3363(312.43 sq.m.),3,3,3,18.0,North,Relatively new property,3363.0,,,1,1,0,0,0,1,76
sector 4,flat,housing apna enclave,0.39,4105.0,950.0,Built Up area: 950 (88.26 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,1,1.0,North-East,Undefined,,950.0,750.0,0,0,0,0,0,1,0
sector 95,flat,signature the roselia,0.41,7293.0,562.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569 sq.ft. (52.86 sq.m.),2,2,2,12.0,South,New Property,,670.0,569.0,0,0,0,0,0,0,93
sector 108,flat,experion the heartsong,1.02,7950.0,1283.0,Built Up area: 1283 (119.19 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,4.0,Na,Relatively new property,,1283.0,734.43,0,1,0,0,0,1,112
sector 67a,flat,pyramid urban,0.7,11844.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,14.0,North,New Property,,,591.0,0,0,0,0,0,1,44
sector 102,flat,emaar gurgaon greens,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,East,Relatively new property,1650.0,,1022.58,1,0,0,0,0,1,128
sector 22,flat,ambience creacions,4.3,13915.0,3090.0,Super Built up area 3090(287.07 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,6.0,South-West,Relatively new property,3090.0,2600.0,2100.0,1,0,1,0,0,2,120
sector 58,flat,ireo the grand arch,2.2,16000.0,1375.0,Super Built up area 1375(127.74 sq.m.),2,2,2,6.0,North-East,Relatively new property,1375.0,,,0,0,0,0,0,1,42
sector 70a,flat,aipl zen residences,1.34,10276.0,1304.0,Super Built up area 1304(121.15 sq.m.),2,2,3+,17.0,East,New Property,1304.0,,,0,0,0,0,0,0,110
sector 72,flat,tata primanti,3.4,15560.0,2185.0,Super Built up area 2185(202.99 sq.m.),3,4,3+,9.0,Na,Moderately New Property,2185.0,,,1,0,0,0,0,1,38
sector 56,house,independent,2.95,20233.0,1458.01,Built Up area: 162 (135.45 sq.m.),2,2,0,1.0,North,Undefined,,162.0,,0,0,0,0,0,1,0
sector 85,flat,ss the leaf,1.85,7682.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,2.0,North,Relatively new property,2408.0,,,1,1,0,0,0,0,49
sector 82,flat,mapsko royale ville,1.22,7176.0,1700.0,Super Built up area 2300(213.68 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,5,3+,10.0,South-West,Relatively new property,2300.0,2000.0,1700.0,1,0,0,1,0,0,76
sector 3 phase 2,flat,om appartments,0.4,4444.0,900.0,Carpet area: 900 (83.61 sq.m.),3,2,1,3.0,Na,Relatively new property,,,900.0,0,0,0,0,0,1,7
sector 50,flat,eros wembley estate,1.4,10174.0,1376.0,Super Built up area 1376(127.83 sq.m.),3,3,2,9.0,East,Relatively new property,1376.0,,,0,0,0,0,1,0,117
sector 95,flat,sidhartha ncr one,0.57,4179.0,1364.0,Built Up area: 1364 (126.72 sq.m.)Carpet area: 1232 sq.ft. (114.46 sq.m.),2,2,2,10.0,Na,Undefined,,1364.0,1232.0,0,0,0,0,0,1,0
sector 43,house,the laburnum,11.0,27160.0,4050.07,Plot area 450(376.26 sq.m.)Built Up area: 360 sq.yards (301.01 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),5,6,3+,3.0,East,New Property,,360.0,350.0,1,0,0,1,0,0,160
sector 4,house,independent,0.67,8557.0,782.98,Plot area 87(72.74 sq.m.),3,2,1,1.0,South,Moderately New Property,,783.0,,0,0,1,1,0,1,19
sector 3 phase 3 extension,house,independent,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5,3,3,3.0,Na,Moderately New Property,,450.0,,0,0,0,0,0,1,0
sector 92,flat,sare crescent parc royal greens phase 1,0.75,4325.0,1734.0,Built Up area: 1734 (161.09 sq.m.),4,4,3+,3.0,East,Relatively new property,,1734.0,,0,0,0,0,0,1,93
sector 43,house,sushant lok 1 builder floors,13.0,48148.0,2700.01,Plot area 300(250.84 sq.m.),3,3,3+,4.0,North,New Property,,2700.0,,0,0,0,1,0,0,7
sector 68,flat,pareena mi casa,1.7,8500.0,2000.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23.0,Na,New Property,1999.0,,,0,0,0,0,0,1,88
sector 92,flat,sare homes,1.12,5358.0,2090.0,Carpet area: 2090 (194.17 sq.m.),4,4,2,12.0,North-West,Relatively new property,,,2090.0,1,0,0,0,0,1,85
sector 77,flat,emaar palm heights,2.25,11250.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,22.0,Na,New Property,2000.0,,,1,0,0,0,0,0,42
sector 107,flat,signature global solera,0.28,5674.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively new property,,,489.0,0,0,0,0,0,1,45
sector 49,flat,vatika city,1.79,12785.0,1400.0,Carpet area: 1400 (130.06 sq.m.),3,3,3,9.0,Na,Old Property,,,1400.0,1,0,0,0,0,1,38
sector 7,house,independent,0.27,12000.0,225.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,Moderately New Property,,225.0,,0,0,0,0,0,1,12
sector 74,flat,m3m skywalk,1.4,9831.0,1424.0,Super Built up area 1424(132.29 sq.m.),2,2,2,17.0,North-East,New Property,1424.0,,,0,0,0,0,0,0,167
sector 67,flat,m3m merlin,3.39,14376.0,2358.0,Super Built up area 2358(219.07 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3,14.0,East,Relatively new property,2358.0,2100.0,2000.0,1,0,0,0,0,0,26
sector 70a,flat,aipl zen residences,1.75,10257.0,1706.0,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,4,3+,20.0,North-East,Relatively new property,,1706.0,1050.0,0,0,1,0,0,2,49
manesar,flat,denso haryana housing society,0.9,4308.0,2089.0,Carpet area: 2089 (194.07 sq.m.),3,3,3+,5.0,East,Moderately New Property,,,2089.0,1,0,0,0,0,1,7
sector 70a,flat,aipl the peaceful homes,2.6,12009.0,2165.0,Carpet area: 2165 (201.14 sq.m.),3,2,2,12.0,Na,Moderately New Property,,,2165.0,1,0,0,0,0,1,52
sector 85,flat,orris aster court premier,1.25,5896.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6.0,East,Relatively new property,2120.0,1616.0,,1,0,0,0,0,0,49
sector 2,flat,bestech park view residency,1.02,7208.0,1415.0,Super Built up area 1415(131.46 sq.m.),2,2,3,11.0,South-West,Moderately New Property,1415.0,,,0,0,0,0,0,1,92
sector 88a,flat,godrej oasis,2.65,16747.0,1582.0,Carpet area: 124,3,3,3+,10.0,Na,New Property,,,124.0,0,0,0,0,0,1,110
sector 83,flat,emaar palm gardens,1.4,9675.0,1447.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1447 sq.ft. (134.43 sq.m.),3,3,3,11.0,North,Relatively new property,1720.0,,1447.0,1,0,0,0,0,2,58
sector 108,flat,experion the heartsong,1.6,7988.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,3.0,South,Relatively new property,2003.0,1500.29,1140.98,1,0,0,0,0,0,60
sector 95,flat,signature the roselia,0.45,7.0,642857.0,Carpet area: 569243 (52884.41 sq.m.),2,2,2,2.0,South-West,New Property,,,569243.0,0,0,0,0,0,1,76
sector 68,flat,m3m sierra 68,1.1,8986.0,1224.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3,1.0,North-East,Relatively new property,1224.0,1150.0,830.0,0,0,0,0,0,0,127
sector 95,flat,rof ananda,0.37,5744.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,South-East,Relatively new property,,,644.111776,0,0,0,1,0,0,72
sector 66,house,emaar mgf marbella,12.0,38095.0,3150.02,Plot area 350(292.64 sq.m.),5,6,3+,4.0,North-East,New Property,,3150.0,,1,0,0,1,0,1,38
sector 112,flat,experion windchants,3.75,13383.0,2802.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,21.0,West,Relatively new property,2802.0,2225.56,,1,0,0,0,0,0,159
sector 86,flat,dlf new town heights,1.55,6578.0,2356.0,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,4,3+,12.0,North-East,Moderately New Property,2356.0,,1750.0,1,0,0,1,0,0,120
sector 107,flat,m3m woodshire,1.4,5929.0,2361.0,Super Built up area 2361(219.34 sq.m.),3,4,3+,6.0,North-East,Relatively new property,2361.0,,,1,0,0,0,0,1,117
sector 85,flat,ss,1.18,7170.0,1646.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,4.0,West,Relatively new property,1640.0,1630.0,1620.0,0,0,0,0,0,1,49
sector 53,house,independent,4.0,17778.0,2249.97,Plot area 250(209.03 sq.m.),5,5,2,3.0,Na,Relatively new property,,2250.0,,0,1,0,0,0,1,23
sector 108,flat,raheja vedaanta,1.0,4854.0,2060.0,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),2,2,2,0.0,North,Undefined,,2060.0,1890.0,0,0,0,0,0,1,0
sector 28,flat,maruti vihar colony,0.95,8886.0,1069.0,Carpet area: 1069 (99.31 sq.m.),2,1,1,1.0,Na,Old Property,,,1069.0,0,0,0,0,0,1,59
sector 12,house,independent,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6,2,3,1.0,Na,Undefined,,,1000.0,0,0,0,0,0,1,0
sector 7,house,independent,0.69,9103.0,757.99,Built Up area: 758 (70.42 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1,1,1,2.0,Na,Undefined,,758.0,500.0,0,0,0,0,0,1,0
sohna road,house,signature global park,0.85,7589.0,1120.04,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,Na,Under Construction,,1120.0,,0,0,0,0,0,1,15
sector 88a,flat,godrej icon,1.62,10018.0,1617.0,Super Built up area 1617(150.22 sq.m.),3,2,3+,10.0,East,Relatively new property,1617.0,,,0,1,0,0,0,2,49
sector 102,flat,emaar gurgaon greens,1.45,8787.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,7.0,North-East,Relatively new property,1650.0,,,1,0,0,0,0,1,159
sector 56,flat,sagar apartment,1.45,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,7.0,South,Old Property,2000.0,1900.0,1800.0,1,1,1,1,0,1,166
sector 107,flat,m3m woodshire,1.01,7394.0,1366.0,Super Built up area 1366(126.91 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,11.0,Na,New Property,1366.0,1200.0,,0,0,1,0,0,1,74
sector 73,flat,today callidora,1.0,7692.0,1300.0,Carpet area: 1300 (120.77 sq.m.),2,2,2,13.0,Na,New Property,,,1300.0,0,0,0,0,0,1,0
sohna road,flat,hcbs sports ville,0.32,5517.0,580.0,Carpet area: 580 (53.88 sq.m.),2,2,1,7.0,Na,New Property,,,580.0,0,0,0,0,0,1,37
sohna road road,house,independent,1.2,22297.0,538.19,Plot area 50,4,4,3+,4.0,West,Old Property,,535.0,,0,0,0,0,0,1,8
