,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
1038,sector 112,house,experion windchants,7.46,10260.0,7270.96,Built Up area: 6350 (589.93 sq.m.),4,4,3+,2.0,East,Relatively new property,,6350.0,,1,0,0,1,0,0,62
1068,sector 48,house,independent,5.5,23504.0,2340.03,Plot area 260(217.39 sq.m.),4,4,2,2.0,North,Relatively new property,,2340.0,,1,0,0,0,0,0,22
1080,sector 2,house,independent,6.0,20000.0,3000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,Na,Relatively new property,,333.0,,0,0,0,0,0,1,0
1094,sector 109,house,international city by sobha phase 1,6.75,10838.0,6228.09,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,,6228.0,,1,0,0,1,0,1,130
1130,sector 109,house,international city by sobha phase 1,5.9,24280.0,2429.98,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively new property,,2430.0,,1,0,0,0,0,0,111
1142,sector 48,house,vipul tatvam villa,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Old Property,,3240.0,,1,0,1,1,0,1,49
1145,sector 26,house,independent,8.49,47167.0,1799.99,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,Relatively new property,,1800.0,,1,0,0,1,0,0,42
1149,sector 28,house,independent,8.4,34568.0,2429.99,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively new property,,2430.0,,1,0,0,1,1,0,139
1153,sector 26,house,dlf city plots,17.3,38734.0,4466.36,Plot area 502(419.74 sq.m.),6,7,3+,3.0,North,New Property,,4518.0,,1,1,0,1,1,0,124
1157,sector 7,house,independent,6.5,15046.0,4320.09,Plot area 480(401.34 sq.m.),3,2,3+,,Na,Old Property,,4320.0,,0,0,0,0,0,1,9
1189,sector 48,house,vipul tatvam villa,7.35,22812.0,3221.99,Plot area 358(299.33 sq.m.),4,5,2,2.0,South,Moderately New Property,,3222.0,,1,1,0,1,1,0,144
1190,sector 25,house,floor wise designer kothi,13.0,48148.0,2700.01,Plot area 300(250.84 sq.m.),12,16,3+,4.0,North-East,New Property,,2700.0,,1,1,0,1,1,0,144
