,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
3053,sector 104,house,shri shyam residency,0.62,12400.0,500.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,1,2.0,Na,Moderately New Property,,900.0,480.0,0,0,1,0,0,2,8,166.66666666666666
3056,sector 105,house,rajendra park gurgaon,0.37,10277.0,360.03,Plot area 360(33.45 sq.m.),4,3,2,3.0,East,Relatively new property,,360.0,,0,0,0,0,0,1,0,90.0075
3059,sector 105,house,independent,0.6,11102.0,540.44,Plot area 60(50.17 sq.m.),8,4,3,3.0,West,New Property,,540.0,,0,0,0,0,0,1,17,67.555
3124,sector 12,house,independent,1.35,12222.0,1104.57,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3.0,Na,Old Property,,2052.0,,0,0,0,0,0,1,31,220.914
3158,sector 28,house,housing board colony,2.1,23333.0,900.01,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately New Property,,900.0,,0,0,1,0,0,0,38,112.50125
3206,sector 107,flat,signature global solera,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,South,Relatively new property,,,489.0,0,0,0,0,0,1,45,240.0
3222,sector 47,house,independent,4.3,29311.0,1467.03,Plot area 163(136.29 sq.m.),6,4,2,2.0,Na,Moderately New Property,,1467.0,,0,0,1,0,0,1,0,244.505
3244,sector 104,house,independent,0.45,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,4.0,North,Moderately New Property,,,1500.0,0,0,0,0,0,0,7,92.5
3258,sector 38,house,sector 38 rwa,4.3,28782.0,1493.99,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9,9,3+,3.0,East,Relatively new property,,165.0,164.0,0,0,1,1,0,0,41,165.9988888888889
3267,sector 7,house,rattan garden,0.83,17584.0,472.02,Carpet area: 472 (43.85 sq.m.),5,3,2,3.0,East,Undefined,,,472.0,0,0,0,0,0,1,0,94.404
3286,sector 12,house,independent,2.5,13888.0,1800.12,Plot area 1800(167.23 sq.m.),9,5,2,1.0,South-East,Old Property,,1800.0,,0,0,0,1,0,1,8,200.01333333333332
