sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 109,house,6.3,4,5,3+,Low floor,Relatively new property,7000.0,0,0,0,Medium
sector 5,house,0.96,2,4,2,Mid floor,Moderately New Property,945.0,0,1,0,Low
sector 89,flat,1.25,3,3,3,Low floor,Under Construction,1288.0,0,0,1,Low
sector 58,flat,3.83,3,4,2,Mid floor,Relatively new property,2000.0,1,0,0,High
sector 102,flat,2.4,4,4,3+,High floor,Relatively new property,1957.0,0,0,1,Medium
sector 5,house,0.8,2,2,1,Low floor,Old Property,900.0,0,0,1,Low
sector 56,flat,1.85,3,4,3,Mid floor,Old Property,2278.0,1,0,1,Medium
sector 37d,flat,1.35,3,3,3+,Mid floor,Under Construction,1600.0,0,0,1,Medium
sohna road,flat,0.35,2,2,2,High floor,Relatively new property,528.0,0,0,1,Medium
sector 105,house,9.9,2,2,2,Mid floor,Moderately New Property,2000.0,0,0,1,Low
sector 54,flat,1.75,3,4,3+,Mid floor,Moderately New Property,1900.0,1,0,0,Medium
sector 67,flat,4.75,4,4,3+,Low floor,Relatively new property,3200.0,1,1,0,High
sector 82,flat,0.99,3,4,2,High floor,New Property,1620.0,1,0,1,Medium
sector 78,flat,4.75,3,3,2,High floor,Under Construction,2813.0,1,0,1,Medium
sector 33,flat,1.55,3,2,3+,Mid floor,New Property,1730.0,0,0,1,Low
sohna road,flat,0.3,2,2,2,Mid floor,Relatively new property,516.0,0,0,1,Low
sector 66,house,8.8,4,4,3+,Mid floor,Relatively new property,2114.62,1,1,1,Medium
sector 79,flat,1.9,3,4,3,High floor,Under Construction,1946.0,0,0,1,Medium
sector 86,flat,1.56,3,4,3+,High floor,Relatively new property,1580.0,0,1,1,High
sector 50,flat,2.7,3,3,3+,Mid floor,Moderately New Property,2400.0,1,0,1,High
sector 99a,flat,0.26,2,2,1,Mid floor,Relatively new property,611.0,0,0,1,Medium
sector 66,flat,1.45,2,2,3,Mid floor,Relatively new property,1082.0,0,0,1,Medium
sector 63a,flat,1.4,2,2,2,Mid floor,Under Construction,1372.0,0,0,1,Low
sector 26,house,19.0,6,6,3,Low floor,Relatively new property,4518.0,1,0,0,Medium
sector 2,house,6.0,5,6,3+,Mid floor,Old Property,2430.0,0,0,0,Low
sector 14,house,4.15,5,4,2,Low floor,Old Property,2250.0,0,0,0,Medium
sector 43,house,3.3,1,1,0,Low floor,Under Construction,1242.0,0,0,1,Low
sector 86,flat,0.45,2,2,1,Mid floor,Under Construction,646.0,0,0,1,Medium
sector 36a,flat,0.36,1,1,1,Mid floor,Relatively new property,407.0,0,0,1,Medium
sector 107,flat,0.25,1,1,0,Low floor,Relatively new property,318.0,0,0,1,Medium
sector 69,flat,1.75,4,4,1,High floor,Relatively new property,1783.0,0,0,1,Medium
sector 33,flat,3.25,4,4,3+,High floor,Old Property,4809.0,1,0,0,Medium
sector 104,flat,1.35,4,5,3+,Low floor,Relatively new property,3000.0,1,1,1,Medium
sector 92,flat,1.18,4,4,3,Mid floor,Relatively new property,2518.0,1,0,1,Medium
sector 52,house,8.0,6,5,3+,Mid floor,Moderately New Property,3131.97,0,0,1,Low
sector 99a,flat,0.3,2,1,2,Mid floor,New Property,511.0,0,0,1,Medium
sector 33,flat,1.2,2,2,0,High floor,Under Construction,85.0,0,0,1,Medium
sector 70,flat,1.13,3,3,2,Low floor,Under Construction,1457.0,0,0,1,Low
sector 90,flat,0.7,2,2,3,Mid floor,New Property,1350.0,0,0,1,Medium
sector 69,flat,1.2,2,3,1,Low floor,Relatively new property,1222.0,0,0,1,High
sector 102,flat,1.45,3,3,3,Mid floor,Relatively new property,1300.0,1,0,1,Low
sector 10a,house,4.25,4,3,2,Low floor,Moderately New Property,2367.0,0,0,1,Low
sohna road,flat,0.26,2,2,1,Mid floor,Relatively new property,535.0,0,0,1,Medium
