sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 9a,flat,oriental valley chs,1.5,9091.0,1650.0,Carpet area: 1650 (153.29 sq.m.),4,3,3+,8.0,Na,Relatively new property,,,1650.0,0,0,0,0,0,0,8,412.5
sohna road,flat,trisara our homes 3,0.38,6312.0,602.0,Built Up area: 602 (55.93 sq.m.),2,2,2,1.0,Na,Undefined,,602.0,,0,0,0,0,0,1,0,301.0
sector 33,house,unitech uniworld resorts,11.5,24573.0,4679.93,Plot area 520(434.79 sq.m.),5,6,3+,4.0,East,Relatively new property,,4680.0,,1,0,0,0,0,1,84,935.9860000000001
sector 14,flat,vasant appartments,1.7,7391.0,2300.0,Carpet area: 2300 (213.68 sq.m.),5,5,2,2.0,North-West,Old Property,,,2300.0,0,1,0,1,1,2,71,460.0
sector 79,flat,"godrej 101, sector 79",1.25,9038.0,1383.0,Built Up area: 1383 (128.48 sq.m.),2,2,3,1.0,East,Undefined,,1383.0,,0,0,0,0,0,1,0,691.5
sector 79,flat,mapsko mount ville,1.2,8054.0,1490.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3+,24.0,East,Relatively new property,1490.0,,863.91,0,0,0,0,0,0,135,496.6666666666667
sector 102,flat,shapoorji pallonji joyville gurugram,2.0,17730.0,1128.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1456 sq.ft. (135.27 sq.m.)Carpet area: 1128.09 sq.ft. (104.8 sq.m.),3,3,3+,1.0,South,Relatively new property,1852.0,1456.0,1128.09,0,0,0,0,1,1,139,376.0
sector 112,house,experion windchants,7.99,12519.0,6382.3,Built Up area: 6382 (592.91 sq.m.),4,6,3,2.0,South-East,New Property,,6382.0,,1,0,0,1,1,0,129,1595.575
sector 7,house,independent,2.25,16892.0,1331.99,Built Up area: 148 (123.75 sq.m.),5,3,0,2.0,Na,Undefined,,148.0,,0,0,0,0,0,1,0,266.398
sector 90,flat,dlf new town heights,1.8,6601.0,2727.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,23.0,Na,Moderately New Property,2727.0,,,0,0,0,0,0,1,67,681.75
sector 33,flat,godrej,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,3.0,South-East,Under Construction,1385.0,,,0,0,0,0,0,1,0,692.5
sector 92,flat,gls avenue 51,0.5,7812.0,640.0,Super Built up area 640(59.46 sq.m.),3,3,1,0.0,Na,Relatively new property,640.0,,,0,0,0,0,0,1,0,213.33333333333334
